region,category,parameter,mode,powertrain,year,unit,value,Log_price,Log_range_km,Log_charging_time,Log_sales_volume,Log_co2_saved,Log_battery_capacity,Log_energy_efficiency,Log_weight_kg,Log_number_of_seats,Log_motor_power,Log_distance_traveled
Australia,Historical,EV stock share,Cars,EV,2011,percent,0.000390000001062,10.921335456517811,4.542123884270456,1.9125010869241836,8.166500319155052,5.14644741720991,3.8238473145244205,5.798547051100624,7.376001114212793,1.5107219394949427,5.318119993844216,10.824795278223917
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.00650000013411,11.0802022060912,4.976733742420574,1.430311246536665,6.593044534142437,3.745732265706719,4.30406509320417,6.286444922040874,7.496652438168283,1.9459101490553132,5.225746673713202,10.81249079504571
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0,10.976662367940685,4.955827057601261,1.5602476682433286,8.128290171607052,5.260096153727839,3.5263605246161616,5.478302863544443,7.221835825288449,1.791759469228055,5.648974238161206,10.820461650862233
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0,10.909110632528071,6.248042874508429,2.3693087250369538,7.265429723253953,5.864568236419437,3.9889840465642745,4.364371699435161,7.238496840894365,1.3862943611198906,5.648974238161206,10.925074798020022
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0,11.169307760188143,5.214935757608986,2.448415541205585,7.80057265467065,5.1914557247639435,4.406719247264253,6.099533890576726,7.240649694255466,1.506297153514587,5.683579767338681,8.683554728631462
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0,10.930950360191495,6.362803940486771,2.135349173618132,8.641995092659725,6.971199451538672,4.290459441148391,4.69024635834321,7.418180822726788,1.6094379124341003,5.111987788356544,10.823191253599369
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.029999999329448,10.92808186500076,5.049856007249537,1.6074359097634274,8.03947991910045,5.2652775124698366,4.477336814478207,6.33523154074593,7.065613363597717,1.3862943611198906,5.23415210907225,10.209574216664013
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.002400000113994,11.266039786711017,5.815621956411737,2.3350522831315472,7.837866072357155,5.728865255023664,4.072610070076094,5.489433471023487,7.126087273299125,1.0986122886681098,4.430816798843313,11.123314020785232
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0,10.923937919299346,6.244166900663736,2.2192034840549946,7.865725237847781,6.2012796682108595,4.430816798843313,5.312910368850937,7.1308988302963465,1.9459101490553132,5.484796933490655,10.334002932844076
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0,10.903605881881662,5.75890177387728,1.7544036826842861,8.050065422915965,5.984918166237948,3.9889840465642745,5.137855144106975,6.9167150203536085,1.4816045409242156,5.049856007249537,11.459355897627471
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0,10.369953682201691,5.662960480135946,1.8748743759385615,6.76849321164863,4.607367769531579,3.8676530576922055,5.434464086221378,7.562161631225652,1.6094379124341003,5.1298987149230735,11.439085149301006
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0,10.796243501276619,5.4116460518550396,1.8500283773520307,5.799092654460526,3.3867603338643857,3.7376696182833684,5.625676778652579,7.738052297689316,1.0986122886681098,5.10594547390058,10.834978966431875
Australia,Historical,EV stock share,Cars,EV,2013,percent,0.004600000102073,10.523875850511647,5.91350300563827,1.890095369948917,7.942362237674335,6.013103722211463,3.332204510175204,4.504797211841304,7.2254814727822945,1.0986122886681098,5.233298730173588,11.441160898740918
Australia,Historical,EV sales share,Cars,EV,2013,percent,0.034000001847744,11.258858681002508,5.82600010738045,1.7884205679625405,7.843064016692054,5.845021586348926,3.713572066704308,4.795294554845067,7.5226273554032215,1.791759469228055,5.652489180268651,10.563155506021905
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0,10.96311643322519,6.089044875446846,1.6937790608678513,8.02059914989697,6.28560695657188,4.499809670330265,5.318512073833556,7.3277805384216315,0.6931471805599453,4.890349128221754,10.821668297210325
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410.0,10.911171712839494,6.118097198041348,1.864080130807681,7.9599745280805365,6.238598025162288,4.113656873254474,4.954629157306516,7.463242556333779,1.4996230464268938,5.2321241438132375,10.825795743135657
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780.0,11.168898765111539,4.90527477843843,1.8748743759385615,7.771488760117616,4.852733141843045,3.879499813722586,5.962473333757384,7.140453043101158,1.9459101490553132,5.22778760035751,10.318539889280197
Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0,10.923651154071315,5.0689042022202315,2.312535423847214,7.603494098343201,4.850779482017964,4.110873864173311,5.949730678623674,7.7057128238944275,1.501852701754163,4.718498871295094,10.004689433045096
Australia,Historical,EV sales share,Cars,EV,2014,percent,0.159999996423721,10.92091816570859,5.1298987149230735,1.673351238177753,8.400659375160286,5.706512079227068,4.760291822855391,6.352559707480206,7.0964647230450115,1.0986122886681098,5.4510384535657,11.07713000705423
Australia,Historical,EV stock share,Cars,EV,2014,percent,0.014000000432134,10.722407984014007,4.804021044733257,1.6563214983329508,7.2849306459166785,5.2308412014231225,4.418840607796598,6.522577974570693,7.820037989458753,1.47932922708708,5.568344503761097,11.356213173682693
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100.0,10.837873572679374,6.222556426604687,2.4655539212721855,7.60887062919126,5.9849684933642795,4.3694478524670215,4.976388855367665,7.395721608602045,1.5151272329628591,5.627621113690637,10.39854958112264
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0,10.916993920406638,5.923640634978882,1.7316555451583497,8.454040376410969,6.490784230687771,4.05629649458457,5.354272278692483,7.069023426578259,1.791759469228055,5.14166355650266,11.26542518215128
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0,10.638616055336175,5.262690188904886,1.8870696490323797,8.087332926473351,5.708239195373142,4.076350298849822,5.794810773003765,7.5411524551363085,0.6931471805599453,5.236548340150405,10.843684246208623
Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100.0,10.528355892342779,5.397529016618985,1.888583653863595,7.5953872788539725,4.7201047240801906,4.276666119016055,5.873497119452439,7.433542418988276,0.6931471805599453,4.532599493153256,11.503208406906847
Australia,Historical,EV stock share,Cars,EV,2015,percent,0.027000000700355,10.784213281000078,4.672828834461906,1.6808279085207734,8.492080490601163,5.3408498972667395,4.14962157771194,5.63611015942233,7.356918242356021,1.6094379124341003,5.0689042022202315,10.855396362012028
Australia,Historical,EV sales share,Cars,EV,2015,percent,0.200000002980232,10.701895243753567,5.840641657373398,2.4782176616372036,7.90021043848382,5.660422540066636,4.343805421853684,5.410931510917171,7.324489979348532,1.791759469228055,5.594711379601839,10.840178576206704
Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0,10.96275245336139,6.19644412779452,2.0992441689760155,7.917692990127274,6.2751762480558675,4.149148354262775,4.823019748841191,7.45287797619476,1.0986122886681098,5.233832177321627,10.147139364481689
Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500.0,10.89142914032482,5.8522024797744745,1.873339456220478,6.261491684321042,3.858411235979497,4.0118683403978626,5.389802056670215,7.22402480828583,1.0986122886681098,5.220355825078324,11.432593548813283
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200.0,10.709449893714698,6.0758056955417326,1.873339456220478,7.874176229132971,6.070645344982423,4.51085950651685,5.50780814140846,7.516079595101804,1.4861396960896067,4.897839799950911,11.439989113892716
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0,10.936636981886615,5.487697287709437,1.8779371654691073,8.166784289056151,5.823371286324659,3.4657359027997265,4.892827258127367,7.533158807455563,1.6094379124341003,5.237026898104929,8.744488113852924
Australia,Historical,EV sales share,Cars,EV,2016,percent,0.150000005960464,10.805233012968248,5.799092654460526,1.8656293177945105,5.723585101952381,3.6985822295753215,3.9939715880753135,5.574584536184519,7.202661196523238,1.0986122886681098,5.232978525239696,10.36788172817358
Australia,Historical,EV stock share,Cars,EV,2016,percent,0.037000000476837,10.62682440425913,5.719032269863077,1.891604804197771,8.356789669923213,6.287226390124183,4.084294226368599,5.537058638485301,7.343426229147367,1.9459101490553132,5.23808954099755,10.843990391332392
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800.0,11.04920604863151,5.771441123130016,1.8718021769015913,8.03868631179116,5.89718133978685,4.382026634673881,5.518336040514722,7.573962824286131,1.6094379124341003,5.225477820371079,11.337952838517312
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0,10.483689974079939,6.07993319509559,2.3233676321765744,7.876824401941639,6.103475400169675,3.367295829986474,3.6090242288644716,7.266128779556451,1.9459101490553132,5.541263545158426,10.14356688055654
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100.0,11.178654803103855,5.68697535633982,1.6956156086751528,8.424858580213442,6.287784207955348,4.31748811353631,5.538278702788406,7.083387847625295,0.6931471805599453,5.14166355650266,10.314503890682618
Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0,10.761767742906777,5.989011540946915,1.8809906029559975,8.158516244806831,6.215008018443519,3.9824814690767076,5.1543315160196554,7.050122520269059,1.791759469228055,4.875197323201151,9.571226436686379
